"region_final1","date","specimen","h3n2","h3n2_LL","h3n2_UL","bv","bv_LL","bv_UL"
"Southeast Asia",2000-01-03,5,0,0,0,0.5,0.025,0.975
"Southeast Asia",2000-01-10,23,1,1,1,0,0,0
"Southeast Asia",2000-01-17,16,0,0,0,0,0,0
"Southeast Asia",2000-01-24,20,0,0,0,0,0,0
"Southeast Asia",2000-01-31,20,0,0,0,0,0,0
"Southeast Asia",2000-02-07,21,0,0,0,0.5,0.025,0.975
"Southeast Asia",2000-02-14,23,0,0,0,0.5,0.025,0.975
"Southeast Asia",2000-02-21,12,0,0,0,0,0,0
"Southeast Asia",2000-02-28,10,0,0,0,0,0,0
"Southeast Asia",2000-03-06,14,0,0,0,0,0,0
"Southeast Asia",2000-03-13,13,0,0,0,0,0,0
"Southeast Asia",2000-03-20,2,0,0,0,0,0,0
"Southeast Asia",2000-03-27,8,0,0,0,0,0,0
"Southeast Asia",2000-04-03,5,0,0,0,0,0,0
"Southeast Asia",2000-04-10,9,0,0,0,0.5,0.025,0.975
"Southeast Asia",2000-04-17,5,0,0,0,0,0,0
"Southeast Asia",2000-04-24,6,1,1,1,0,0,0
"Southeast Asia",2000-05-01,12,1,1,1,0,0,0
"Southeast Asia",2000-05-08,11,0,0,0,0.5,0.025,0.975
"Southeast Asia",2000-05-15,11,0,0,0,0,0,0
"Southeast Asia",2000-05-22,11,0,0,0,0,0,0
"Southeast Asia",2000-05-29,7,0,0,0,0,0,0
"Southeast Asia",2000-06-05,18,2,2,2,0,0,0
"Southeast Asia",2000-06-12,23,1,1,1,0,0,0
"Southeast Asia",2000-06-19,38,3,3,3,0,0,0
"Southeast Asia",2000-06-26,29,2,2,2,0,0,0
"Southeast Asia",2000-07-03,27,1,1,1,0.5,0.025,0.975
"Southeast Asia",2000-07-10,17,0.333333333333333,0.012579117093425,0.841886116991581,0,0,0
"Southeast Asia",2000-07-17,27,2,2,2,0,0,0
"Southeast Asia",2000-07-24,19,1,1,1,0,0,0
"Southeast Asia",2000-07-31,12,0,0,0,0,0,0
"Southeast Asia",2000-08-07,19,0,0,0,0,0,0
"Southeast Asia",2000-08-14,36,0,0,0,0,0,0
"Southeast Asia",2000-08-21,13,0,0,0,0,0,0
"Southeast Asia",2000-08-28,11,0,0,0,0,0,0
"Southeast Asia",2000-09-04,25,0,0,0,0,0,0
"Southeast Asia",2000-09-11,15,0,0,0,0,0,0
"Southeast Asia",2000-09-18,14,0,0,0,0,0,0
"Southeast Asia",2000-09-25,4,0,0,0,0,0,0
"Southeast Asia",2000-10-02,8,0,0,0,0,0,0
"Southeast Asia",2000-10-09,10,0,0,0,0,0,0
"Southeast Asia",2000-10-16,10,0,0,0,0,0,0
"Southeast Asia",2000-10-23,16,0,0,0,0,0,0
"Southeast Asia",2000-10-30,1,0,0,0,0,0,0
"Southeast Asia",2000-11-06,13,0,0,0,0,0,0
"Southeast Asia",2000-11-13,11,0,0,0,0,0,0
"Southeast Asia",2000-11-20,14,0,0,0,0.5,0.025,0.975
"Southeast Asia",2000-11-27,12,0,0,0,0,0,0
"Southeast Asia",2000-12-04,8,0,0,0,0,0,0
