"tip","count","count_tree","Date","Date1","Date2","Location","type","year_month"
"CY125937|Victoria|HA|Southeast_Asia|Japan|2012-03-06",468,472,2012-03-06,2012.17759562842,2012-03-05,"Japan","Persistent lineages","2012-03"
"CY125938|Victoria|HA|Southeast_Asia|Japan|2012-02-15",406,472,2012-02-15,2012.12295081967,2012-02-14,"Japan","Persistent lineages","2012-02"
"EPI_ISL_100088|Victoria|HA|Southeast_Asia|Bangladesh|2011-10-15",402,472,2011-10-15,2011.78630136986,2011-10-14,"Bangladesh","Persistent lineages","2011-10"
"EPI_ISL_100508|Victoria|HA|Southeast_Asia|Cambodia|2011-10-10",408,472,2011-10-10,2011.77260273973,2011-10-10,"Cambodia","Persistent lineages","2011-10"
"EPI_ISL_100809|Victoria|HA|Southeast_Asia|CentralChina|2011-10-16",452,472,2011-10-16,2011.78904109589,2011-10-15,"CentralChina","Persistent lineages","2011-10"
"EPI_ISL_101352|Victoria|HA|Southeast_Asia|Japan|2011-10-04",407,472,2011-10-04,2011.75616438356,2011-10-03,"Japan","Persistent lineages","2011-10"
"EPI_ISL_101365|Victoria|HA|Southeast_Asia|SouthKorea|2011-11-21",429,472,2011-11-21,2011.88767123288,2011-11-21,"SouthKorea","Persistent lineages","2011-11"
"EPI_ISL_104031|Victoria|HA|Southeast_Asia|India|2011-12-27",440,472,2011-12-27,2011.98630136986,2011-12-26,"India","Persistent lineages","2011-12"
"EPI_ISL_104032|Victoria|HA|Southeast_Asia|India|2011-12-16",471,472,2011-12-16,2011.95616438356,2011-12-15,"India","Persistent lineages","2011-12"
"EPI_ISL_104055|Victoria|HA|Southeast_Asia|Bangladesh|2011-05-23",439,472,2011-05-23,2011.38904109589,2011-05-22,"Bangladesh","Persistent lineages","2011-05"
"EPI_ISL_106358|Victoria|HA|Southeast_Asia|Japan|2011-12-13",469,472,2011-12-13,2011.94794520548,2011-12-13,"Japan","Persistent lineages","2011-12"
"EPI_ISL_106369|Victoria|HA|Southeast_Asia|Japan|2012-01-19",463,472,2012-01-19,2012.04918032787,2012-01-18,"Japan","Persistent lineages","2012-01"
"EPI_ISL_106378|Victoria|HA|Southeast_Asia|Japan|2011-12-14",409,472,2011-12-14,2011.95068493151,2011-12-14,"Japan","Persistent lineages","2011-12"
"EPI_ISL_1064161|Victoria|HA|Southeast_Asia|Vietnam|2020-01-14",296,472,2020-01-14,2020.03551912568,2020-01-13,"Vietnam","Persistent lineages","2020-01"
"EPI_ISL_11501984|Victoria|HA|Southeast_Asia|CentralChina|2021-04-26",351,472,2021-04-26,2021.31506849315,2021-04-25,"CentralChina","Persistent lineages","2021-04"
"EPI_ISL_115043|Victoria|HA|Southeast_Asia|Bangladesh|2011-08-27",430,472,2011-08-27,2011.65205479452,2011-08-26,"Bangladesh","Persistent lineages","2011-08"
"EPI_ISL_115049|Victoria|HA|Southeast_Asia|HongkongChina|2011-06-12",437,472,2011-06-12,2011.44383561644,2011-06-12,"HongkongChina","Persistent lineages","2011-06"
"EPI_ISL_116149|Victoria|HA|Southeast_Asia|Japan|2012-01-17",463,472,2012-01-17,2012.04371584699,2012-01-16,"Japan","Persistent lineages","2012-01"
"EPI_ISL_116151|Victoria|HA|Southeast_Asia|Japan|2012-01-17",429,472,2012-01-17,2012.04371584699,2012-01-16,"Japan","Persistent lineages","2012-01"
"EPI_ISL_117041|Victoria|HA|Southeast_Asia|NorthChina|2012-01-30",406,472,2012-01-30,2012.07923497268,2012-01-29,"NorthChina","Persistent lineages","2012-01"
"EPI_ISL_118584|Victoria|HA|Southeast_Asia|SriLanka|2011-12-01",429,472,2011-12-01,2011.91506849315,2011-11-30,"SriLanka","Persistent lineages","2011-12"
"EPI_ISL_118595|Victoria|HA|Southeast_Asia|Philippines|2011-10-25",404,472,2011-10-25,2011.81369863014,2011-10-25,"Philippines","Persistent lineages","2011-10"
"EPI_ISL_118944|Victoria|HA|Southeast_Asia|Japan|2012-01-19",429,472,2012-01-19,2012.04918032787,2012-01-18,"Japan","Persistent lineages","2012-01"
"EPI_ISL_118947|Victoria|HA|Southeast_Asia|Laos|2011-11-14",408,472,2011-11-14,2011.86849315069,2011-11-14,"Laos","Persistent lineages","2011-11"
"EPI_ISL_118949|Victoria|HA|Southeast_Asia|Laos|2011-11-28",409,472,2011-11-28,2011.90684931507,2011-11-28,"Laos","Persistent lineages","2011-11"
"EPI_ISL_118950|Victoria|HA|Southeast_Asia|Laos|2011-11-28",408,472,2011-11-28,2011.90684931507,2011-11-28,"Laos","Persistent lineages","2011-11"
"EPI_ISL_118951|Victoria|HA|Southeast_Asia|Laos|2011-11-28",409,472,2011-11-28,2011.90684931507,2011-11-28,"Laos","Persistent lineages","2011-11"
"EPI_ISL_118953|Victoria|HA|Southeast_Asia|Laos|2011-12-12",409,472,2011-12-12,2011.94520547945,2011-12-11,"Laos","Persistent lineages","2011-12"
"EPI_ISL_118954|Victoria|HA|Southeast_Asia|Laos|2011-10-17",409,472,2011-10-17,2011.79178082192,2011-10-17,"Laos","Persistent lineages","2011-10"
"EPI_ISL_121215|Victoria|HA|Southeast_Asia|Japan|2012-02-07",429,472,2012-02-07,2012.10109289617,2012-02-06,"Japan","Persistent lineages","2012-02"
"EPI_ISL_121867|Victoria|HA|Southeast_Asia|Japan|2012-03-04",439,472,2012-03-04,2012.17213114754,2012-03-03,"Japan","Persistent lineages","2012-03"
"EPI_ISL_121868|Victoria|HA|Southeast_Asia|Japan|2012-03-14",468,472,2012-03-14,2012.19945355191,2012-03-13,"Japan","Persistent lineages","2012-03"
"EPI_ISL_122183|Victoria|HA|Southeast_Asia|Laos|2012-01-05",409,472,2012-01-05,2012.01092896175,2012-01-04,"Laos","Persistent lineages","2012-01"
"EPI_ISL_122184|Victoria|HA|Southeast_Asia|Laos|2012-01-09",408,472,2012-01-09,2012.0218579235,2012-01-08,"Laos","Persistent lineages","2012-01"
