"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_165351","A/H3N2","Aichi Prefectural Institute of Public Health","Aichi Prefectural Institute of Public Health"
"EPI_ISL_17454553","A/H3N2","Azienda Sanitaria dell'Alto Adige","Laboratorio Aziendale di Microbiologia e Virologia/Comprensorio sanitario di Bolzano"
"EPI_ISL_17454578","A/H3N2","Azienda Sanitaria dell'Alto Adige","Laboratorio Aziendale di Microbiologia e Virologia/Comprensorio sanitario di Bolzano"
"EPI_ISL_17464592","A/H3N2","Azienda Sanitaria dell'Alto Adige","Laboratorio Aziendale di Microbiologia e Virologia/Comprensorio sanitario di Bolzano"
"EPI_ISL_411529","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_394679","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041958","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041943","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041918","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041930","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041927","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041937","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041924","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041957","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041939","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041916","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041951","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041941","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_13291789","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_16755778","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_13291795","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041914","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041949","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041946","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_11041920","A/H3N2","B.C. Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_411537","A/H3N2","B.C. Centre for Disease Control","Laboratoire de Santé Publique du Québec"
"EPI_ISL_411543","A/H3N2","B.C. Centre for Disease Control","Laboratoire de Santé Publique du Québec"
"EPI_ISL_411580","A/H3N2","B.C. Centre for Disease Control","Laboratoire de Santé Publique du Québec"
"EPI_ISL_394842","A/H3N2","B.C. Centre for Disease Control","Laboratoire de Santé Publique du Québec"
"EPI_ISL_411581","A/H3N2","B.C. Centre for Disease Control","Laboratoire de Santé Publique du Québec"
"EPI_ISL_394633","A/H3N2","B.C. Centre for Disease Control","Provincial Laboratory for Public Health, Alberta Public Laboratories"
"EPI_ISL_346184","A/H3N2","B.C. Centre for Disease Control","Provincial Laboratory for Public Health, Alberta Public Laboratories"
"EPI_ISL_394611","A/H3N2","B.C. Centre for Disease Control","Provincial Laboratory for Public Health, Alberta Public Laboratories"
"EPI_ISL_394770","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_394712","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_16755548","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_16755550","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_17585032","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_18728157","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728163","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
