"tip","count","count_tree","Date","Date1","Date2","Location","type","year_month"
"CY118051|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2007-04-20",890,901,2007-04-20,2007.29863013699,2007-04-20,"MalaysiaBrunei","Persistent lineages","2007-04"
"CY118151|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2008-05-12",790,901,2008-05-12,2008.3606557377,2008-05-11,"MalaysiaBrunei","Persistent lineages","2008-05"
"CY118159|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2008-05-12",800,901,2008-05-12,2008.3606557377,2008-05-11,"MalaysiaBrunei","Persistent lineages","2008-05"
"EPI_ISL_100448|H3N2|HA|Southeast_Asia|TaiwanChina|2011-11-11",890,901,2011-11-11,2011.8602739726,2011-11-10,"TaiwanChina","Persistent lineages","2011-11"
"EPI_ISL_100524|H3N2|HA|Southeast_Asia|Japan|2011-10-24",592,901,2011-10-24,2011.81095890411,2011-10-24,"Japan","Persistent lineages","2011-10"
"EPI_ISL_100531|H3N2|HA|Southeast_Asia|Laos|2011-09-19",901,901,2011-09-19,2011.71506849315,2011-09-18,"Laos","Persistent lineages","2011-09"
"EPI_ISL_100533|H3N2|HA|Southeast_Asia|Laos|2011-09-19",901,901,2011-09-19,2011.71506849315,2011-09-18,"Laos","Persistent lineages","2011-09"
"EPI_ISL_100792|H3N2|HA|Southeast_Asia|NorthChina|2011-09-13",901,901,2011-09-13,2011.69863013699,2011-09-13,"NorthChina","Persistent lineages","2011-09"
"EPI_ISL_100793|H3N2|HA|Southeast_Asia|CentralChina|2011-10-04",896,901,2011-10-04,2011.75616438356,2011-10-03,"CentralChina","Persistent lineages","2011-10"
"EPI_ISL_100794|H3N2|HA|Southeast_Asia|CentralChina|2011-09-29",897,901,2011-09-29,2011.74246575342,2011-09-28,"CentralChina","Persistent lineages","2011-09"
"EPI_ISL_100822|H3N2|HA|Southeast_Asia|CentralChina|2011-10-20",894,901,2011-10-20,2011.8,2011-10-20,"CentralChina","Persistent lineages","2011-10"
"EPI_ISL_100823|H3N2|HA|Southeast_Asia|NorthChina|2011-09-21",861,901,2011-09-21,2011.72054794521,2011-09-21,"NorthChina","Persistent lineages","2011-09"
"EPI_ISL_100825|H3N2|HA|Southeast_Asia|SouthChina|2011-10-11",901,901,2011-10-11,2011.77534246575,2011-10-10,"SouthChina","Persistent lineages","2011-10"
"EPI_ISL_100826|H3N2|HA|Southeast_Asia|CentralChina|2011-10-11",630,901,2011-10-11,2011.77534246575,2011-10-10,"CentralChina","Persistent lineages","2011-10"
"EPI_ISL_100839|H3N2|HA|Southeast_Asia|SouthChina|2011-10-24",901,901,2011-10-24,2011.81095890411,2011-10-24,"SouthChina","Persistent lineages","2011-10"
"EPI_ISL_100840|H3N2|HA|Southeast_Asia|CentralChina|2011-11-09",895,901,2011-11-09,2011.85479452055,2011-11-09,"CentralChina","Persistent lineages","2011-11"
"EPI_ISL_100841|H3N2|HA|Southeast_Asia|SouthChina|2011-09-07",901,901,2011-09-07,2011.68219178082,2011-09-06,"SouthChina","Persistent lineages","2011-09"
"EPI_ISL_101334|H3N2|HA|Southeast_Asia|Japan|2011-11-01",890,901,2011-11-01,2011.83287671233,2011-11-01,"Japan","Persistent lineages","2011-11"
"EPI_ISL_101339|H3N2|HA|Southeast_Asia|TaiwanChina|2011-10-03",896,901,2011-10-03,2011.75342465753,2011-10-02,"TaiwanChina","Persistent lineages","2011-10"
"EPI_ISL_101342|H3N2|HA|Southeast_Asia|TaiwanChina|2011-11-18",896,901,2011-11-18,2011.87945205479,2011-11-17,"TaiwanChina","Persistent lineages","2011-11"
"EPI_ISL_101345|H3N2|HA|Southeast_Asia|Japan|2011-11-18",836,901,2011-11-18,2011.87945205479,2011-11-17,"Japan","Persistent lineages","2011-11"
"EPI_ISL_102622|H3N2|HA|Southeast_Asia|HongkongChina|2009-07-04",626,901,2009-07-04,2009.50410958904,2009-07-03,"HongkongChina","Persistent lineages","2009-07"
